Wavelength,Photopic spectral
360,0.000004
361,0.000004
362,0.000005
363,0.000006
364,0.000006
365,0.000007
366,0.000008
367,0.000009
368,0.000010
369,0.000011
370,0.000012
371,0.000014
372,0.000016
373,0.000017
374,0.000020
375,0.000022
376,0.000025
377,0.000028
378,0.000032
379,0.000035
380,0.000039
381,0.000043
382,0.000047
383,0.000052
384,0.000057
385,0.000064
386,0.000072
387,0.000082
388,0.000094
389,0.000106
390,0.000120
391,0.000135
392,0.000151
393,0.000170
394,0.000192
395,0.000217
396,0.000247
397,0.000281
398,0.000319
399,0.000357
400,0.000396
401,0.000434
402,0.000473
403,0.000518
404,0.000572
405,0.000640
406,0.000725
407,0.000826
408,0.000941
409,0.001070
410,0.001210
411,0.001362
412,0.001531
413,0.001720
414,0.001935
415,0.002180
416,0.002455
417,0.002764
418,0.003118
419,0.003526
420,0.004000
421,0.004546
422,0.005159
423,0.005829
424,0.006546
425,0.007300
426,0.008087
427,0.008909
428,0.009768
429,0.010664
430,0.011600
431,0.012573
432,0.013583
433,0.014630
434,0.015715
435,0.016840
436,0.018007
437,0.019214
438,0.020454
439,0.021718
440,0.023000
441,0.024295
442,0.025610
443,0.026959
444,0.028351
445,0.029800
446,0.031311
447,0.032884
448,0.034521
449,0.036226
450,0.038000
451,0.039847
452,0.041768
453,0.043766
454,0.045843
455,0.048000
456,0.050244
457,0.05257304
458,0.05498056
459,0.05745872
460,0.06
461,0.06260197
462,0.06527752
463,0.06804208
464,0.07091109
465,0.0739
466,0.077016
467,0.0802664
468,0.0836668
469,0.0872328
470,0.09098
471,0.09491755
472,0.09904584
473,0.1033674
474,0.1078846
475,0.1126
476,0.117532
477,0.1226744
478,0.1279928
479,0.1334528
480,0.13902
481,0.1446764
482,0.1504693
483,0.1564619
484,0.1627177
485,0.1693
486,0.1762431
487,0.1835581
488,0.1912735
489,0.199418
490,0.20802
491,0.2171199
492,0.2267345
493,0.2368571
494,0.2474812
495,0.2586
496,0.2701849
497,0.2822939
498,0.2950505
499,0.308578
500,0.323
501,0.3384021
502,0.3546858
503,0.3716986
504,0.3892875
505,0.4073
506,0.4256299
507,0.4443096
508,0.4633944
509,0.4829395
510,0.503
511,0.5235693
512,0.544512
513,0.56569
514,0.5869653
515,0.6082
516,0.6293456
517,0.6503068
518,0.6708752
519,0.6908424
520,0.71
521,0.7281852
522,0.7454636
