Wavelength (nm),Irradiance
312.2839,0.0539
314.6485,0.0579
317.486,0.0627
319.3777,0.0666
321.2694,0.0713
324.2646,0.0768
326.7553,0.0822
328.8362,0.0878
331.2954,0.0938
334.5113,0.1016
338.2947,0.112
341.943,0.1221
344.9156,0.1317
347.7532,0.1408
350.4331,0.1499
354.1639,0.1625
358.0224,0.1759
361.4679,0.1906
364.7784,0.2049
367.4583,0.2174
371.2417,0.2326
374.7774,0.2517
378.8085,0.2695
382.6444,0.2909
386.06,0.311
390.2112,0.3346
394.2573,0.3631
398.6713,0.389
402.8826,0.4173
406.8011,0.4447
410.3367,0.4729
414.4354,0.505
418.8494,0.5419
422.948,0.5811
428.1502,0.6193
433.8253,0.6638
439.5004,0.713
444.7025,0.759
449.9047,0.8088
455.5798,0.865
461.2549,0.9231
466.9299,0.9855
472.605,1.0451
479.1077,1.1155
484.3335,1.1833
489.6303,1.2381
496.5665,1.3145
502.8721,1.3961
509.0202,1.4579
517.0599,1.5528
527.4642,1.6762
537.8685,1.7971
546.6964,1.8873
555.745,1.9921
565.163,2.0947
574.7566,2.2179
586.0121,2.3643
594.9346,2.4889
603.9727,2.6287
615.2704,2.708
626.6731,2.8054
636.642,2.9045
648.4276,3.0349
659.0721,3.1223
670.8783,3.2385
682.3467,3.3254
694.0685,3.4179
705.6382,3.4981
718.6605,3.5847
730.2302,3.6519
743.2525,3.7327
754.7378,3.7837
765.6601,3.8278
777.303,3.8836
788.7883,3.9293
799.2771,3.9729
811.3536,4.001
822.8388,4.0343
833.7611,4.0602
845.4041,4.0847
856.8894,4.1062
867.9693,4.1138
880.4229,4.1281
892.4037,4.1352
905.9608,4.1349
917.4236,4.1362
928.3459,4.1271
939.2231,4.1142
951.2039,4.103
962.554,4.0858
975.0077,4.0592
986.4705,4.0388
996.7937,4.0142
1009.0357,3.9987
1020.521,3.9864
1031.4433,3.9676
1042.3205,3.9481
1054.3012,3.9235
1065.6514,3.8912
1078.1051,3.8526
1090.0858,3.8117
1103.6429,3.7628
1115.6237,3.7163
1127.4468,3.6639
1139.6978,3.6169
1150.62,3.5722
1162.263,3.5258
1173.7483,3.4858
1184.6706,3.4459
1196.3135,3.4005
1207.7988,3.3632
1218.7211,3.33
1230.364,3.2872
1241.8493,3.2597
1252.7716,3.2279
1264.4145,3.18
1275.8998,3.1391
1286.8221,3.1069
1298.465,3.0635
1310.4683,3.0239
1324.0254,2.9838
1336.0062,2.9456
1350.0813,2.8978
1361.5666,2.8584
1374.1328,2.813
1385.6181,2.7716
1396.5404,2.7351
1408.6394,2.6825
1420.2091,2.6368
1432.7754,2.5911
1444.2607,2.551
1455.1829,2.5161
1467.3664,2.4651
1478.8516,2.427
1491.4179,2.3831
1502.9032,2.348
1513.5778,2.3134
1524.5226,2.2707
1536.0079,2.2381
1546.9301,2.2073
1558.5731,2.171
1570.0584,2.1374
1580.1924,2.1059
1591.6777,2.0686
1603.163,2.0373
1614.0853,2.01
1626.1843,1.9729
1637.754,1.939
1650.3203,1.9047
1661.8056,1.8766
1672.7279,1.8523
1683.5263,1.8178
1694.9102,1.7888
1705.8325,1.7641
1717.4755,1.7351
1728.9607,1.7083
1739.284,1.6864
1750.5801,1.6533
1762.0654,1.6283
1772.9877,1.6064
1784.6306,1.5807
1796.6564,1.5515
1809.2227,1.5234
1820.708,1.5016
1831.6302,1.4817
1843.2732,1.4565
1854.8429,1.4318
1867.8652,1.4049
1879.3505,1.3847
1890.2728,1.3655
1901.9157,1.3432
1913.4855,1.3205
1926.5078,1.294
1937.993,1.275
1948.9153,1.2584
1960.5583,1.2377
1972.584,1.2148
1985.1503,1.1933
1996.6356,1.1757
2007.5579,1.1602
2019.6568,1.1383
2031.2266,1.1198
2043.7928,1.1
2055.2781,1.0838
2066.2004,1.0702
2078.2994,1.0505
2089.8691,1.0327
2102.4354,1.014
2113.9207,1.0002
2124.843,0.9876
2136.4859,0.9705
2148.0556,0.9545
2161.0779,0.9361
2172.5632,0.9227
2183.4855,0.9097
2195.1284,0.8953
2206.6982,0.8806
2219.7205,0.8632
2231.2058,0.8505
2242.1281,0.8395
2253.771,0.8253
2265.7968,0.8104
2278.363,0.7963
2289.8483,0.7852
2300.7706,0.7743
2312.4135,0.7617
2324.4393,0.7479
2337.0056,0.7346
2348.4909,0.7246
2359.4131,0.7149
2371.0561,0.7029
2382.6258,0.6915
